YEAR,PRICE,CPI.U,PRICE_CPI,YLD,Production,Beginning Stocks,Supply,Use,Ending Stocks,ESU,NAT.YLD
1950,1.7,24.063,22.16209949,46,41354000,170000,41524000,41234000,290000,0.007033031,38.2
1951,1.8,25.973,21.74013014,43,37324000,290000,37614000,37319000,295000,0.007904821,36.9
1952,1.74,26.567,20.54558362,33,27951000,295000,28246000,27868000,378000,0.013563944,41.8
1953,1.7,26.768,19.92254184,27,20871000,378000,21249000,20502000,747000,0.03643547,40.7
1954,1.61,26.865,18.79969403,34,26418000,747000,27165000,26742000,423000,0.015817815,39.4
1955,1.37,26.796,16.03844828,38,28272000,423000,28695000,27820000,875000,0.031452193,42
1956,1.36,27.191,15.69009157,48,34656000,875000,35531000,34935000,596000,0.017060255,47.4
1957,1.41,28.113,15.73343933,26.5,16642000,596000,17238000,16588000,650000,0.039184953,48.3
1958,1.31,28.881,14.22888335,53,33602000,650000,34252000,31588000,2664000,0.084335824,52.8
1959,1.23,29.150,13.2366566,46,30038000,2664000,32702000,,,,53.1
1960,1.21,29.585,12.82996721,49,30723000,,,,,,54.7
1961,1.25,29.902,13.11358772,53,28885000,,,,1212000,,62.4
1962,1.28,30.253,13.27251644,62,30752000,1212000,31964000,31964000,,,64.7
1963,1.36,30.633,13.9271139,39,15483000,,,,194000,,67.9
1964,1.3,31.038,13.13897158,56,25592000,194000,25786000,25723000,63000,0.00244917,62.9
1965,1.28,31.528,12.73577265,68,33592000,63000,33655000,33438000,217000,0.006489623,74.1
1966,1.46,32.471,14.10486526,46,19550000,217000,19767000,19689000,78000,0.003961603,73.1
1967,1.18,33.375,11.09104539,73,35405000,78000,35483000,35291000,192000,0.005440481,80.1
1968,1.12,34.792,10.09834905,71,31524000,192000,31716000,31593000,123000,0.003893267,79.5
1969,1.28,36.683,10.94603604,77,34188000,123000,34311000,34055000,256000,0.007517252,85.9
1970,1.5,38.842,12.11438649,68,31756000,256000,32012000,31588000,424000,0.013422819,72.4
1971,1.23,40.483,9.531125164,68,32640000,424000,33064000,32868000,196000,0.005963247,88.1
1972,1.49,41.808,11.1799182,83,41666000,196000,41862000,41528000,334000,0.008042766,97
1973,2.42,44.425,17.08833225,86,47300000,334000,47634000,47071000,563000,0.011960655,91.3
1974,3.22,49.317,20.48193442,80,45600000,563000,46163000,45898000,265000,0.005773672,71.9
1975,2.69,53.825,15.67761486,88,49720000,265000,49985000,49801000,184000,0.003694705,86.4
1976,2.48,56.933,13.66467673,78,50310000,184000,50494000,49720000,774000,0.015567176,88
1977,2.1,60.617,10.86767408,55,33275000,774000,34049000,,,,90.8
1978,2.35,65.242,11.29932099,83,52290000,,,,1117000,,101
1979,2.83,72.583,12.23103674,83,51045000,1117000,52162000,50770000,1392000,0.027417766,109.5
1980,3.48,82.383,13.25114453,55,32725000,1392000,34117000,33684000,433000,0.012854768,91
1981,2.7,90.933,9.314380918,90,56250000,433000,56683000,56492000,191000,0.00338101,108.9
1982,2.5,96.533,8.124112998,101,62620000,191000,62811000,60733000,2078000,0.034215336,113.2
1983,3.7,99.583,11.65542914,48,16320000,2078000,18398000,18287000,111000,0.006069886,81.1
1984,2.9,103.933,8.75298702,104,56160000,111000,56271000,56160000,111000,0.001976496,106.7
1985,2.4,107.600,6.996981413,99,54450000,111000,54561000,47837000,6724000,0.140560654,118
1986,1.7,109.692,4.861672684,54,21600000,6724000,28324000,19841000,8483000,0.427549015,119.4
1987,2.05,113.617,5.660076397,63,20475000,8483000,28958000,22794000,6164000,0.270422041,119.8
1988,2.9,118.275,7.691601776,79,23305000,6164000,29469000,27380000,2089000,0.076296567,84.6
1989,2.6,123.942,6.58061674,110,40150000,2089000,42239000,40558000,1681000,0.041446817,116.3
1990,2.51,130.658,6.026282202,100,36500000,1681000,38181000,36529000,1652000,0.045224342,118.5
1991,2.6,136.167,5.98981251,84,28140000,1652000,29792000,28381000,1411000,0.04971636,108.6
1992,2.25,140.308,5.030507883,116,41760000,1411000,43171000,40956000,2215000,0.05408243,131.5
1993,2.65,144.475,5.753934591,60,17100000,2215000,19315000,18040000,1275000,0.070676275,100.7
1994,2.4,148.225,5.079272727,98,34300000,1275000,35575000,34166000,1409000,0.041239829,138.6
1995,3.35,152.383,6.896361799,111,30525000,1409000,31934000,31205000,729000,0.023361641,113.5
1996,3.2,156.858,6.399632789,126,39060000,729000,39789000,38679000,1110000,0.028697743,127.1
1997,2.69,160.525,5.256798754,93,30225000,1110000,31335000,29267000,2068000,0.070659787,126.7
1998,2.24,163.008,4.310730271,84,25200000,2068000,27268000,25876000,1392000,0.053795022,134.4
1999,2.15,166.583,4.048736666,78,21840000,1392000,23232000,21628000,1604000,0.074163122,133.8
2000,2.02,172.192,3.680019745,146,48180000,1604000,49784000,47725000,2059000,0.043143007,136.9
2001,2.14,177.042,3.791833124,123,40590000,2059000,42649000,40406000,2243000,0.055511558,138.2
2002,2.73,179.867,4.76127105,68,22100000,2243000,24343000,23084000,1259000,0.054539941,129.3
2003,2.57,184.000,4.381542717,115,37950000,1259000,39209000,37820000,1389000,0.0367266,142.2
2004,2.17,188.908,3.603471849,145,52200000,1389000,53589000,51363000,2226000,0.04333859,160.3
2005,2.14,195.267,3.437927146,118,42480000,2226000,44706000,41097000,3609000,0.087816629,147.9
2006,3.07,201.558,4.778043342,120,41400000,3609000,45009000,42958000,2051000,0.047744308,149.1
2007,4.39,207.344,6.641784763,86,34830000,2051000,36881000,34044000,2837000,0.083333333,150.7
2008,4.51,215.254,6.572597861,108,36720000,2837000,39557000,36356000,3201000,0.08804599,153.3
2009,3.66,214.565,5.350987719,131,43230000,3201000,46431000,43538000,2893000,0.066447701,164.4
2010,5.54,218.076,7.969180102,67,20770000,2893000,23663000,21384000,2279000,0.106575009,152.6
2011,6.58,224.923,9.177064329,118,40120000,2279000,42399000,41187000,1212000,0.029426761,146.8
2012,7.3,229.586,9.974455759,103,36050000,1212000,37262000,35300000,1962000,0.055580737,123.1
2013,4.8,232.952,6.463779663,154,55440000,1962000,57402000,54551000,2851000,0.05226302,158.1
2014,3.9,236.715,5.168334073,145,50750000,2851000,53601000,50835000,2766000,0.054411331,171
2015,4.05,237.002,5.360616788,161,48300000,2766000,51066000,48885000,2181000,0.044614913,168.4
2016,4,240.005,5.228191079,148,50320000,2181000,52501000,50396000,2105000,0.041769188,174.6
2017,3.96,245.121,5.067881087,140,47600000,2105000,49705000,45699000,4006000,0.087660562,176.6
2018,4.06,251.100,5.072138112,146,47450000,4006000,51456000,47208000,4248000,0.089984748,176.4
2019,4.1,255.653,5.030888744,144,54720000,4248000,58968000,57182000,1786000,0.031233605,167.5
2020,5.1,258.856,6.180501128,122,49410000,1786000,51196000,49496000,1700000,0.03434621,171.4
2021,6.4,270.968,7.409240944,160,55200000,1700000,56900000,54400000,2500000,0.045955882,176.7
2022,7,292.625,7.504095686,167,54275000,2500000,56775000,55066000,1709000,0.031035485,173.4
2023,5.1,304.704,5.250537571,157,58090000,1709000,59799000,57187000,2612000,0.045674716,177.3
2024,4.7,313.698,4.7,114,34770000,2612000,37382000,37382000,,0,179.3
